Facility ID,Hospital Name,Indicator Name,Year,Infections Observed,Infections Predicted,Denominator,Indicator Value,Indicator Lower Confidence Limit,Indicator Upper Confidence Limit,Indicator Units,Comparison Results,Location 1
42,United Health Services Hospitals Inc. - Binghamton General Hospital,SSI Overall Standardized Infection Ratio,2016,3,2.22,,1.35,0.28,3.96,,Not significantly different than NYS 2016 average,"(42.088062, -75.91423)"
42,United Health Services Hospitals Inc. - Binghamton General Hospital,SSI Hip,2016,3,2.22,286,1.05,0.22,3.06,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2016 average,"(42.088062, -75.91423)"
42,United Health Services Hospitals Inc. - Binghamton General Hospital,CRE Hospital Onset Infection Rate- Bloodstream Infections,2016,0,,"25,802",0,,,"# hospital onset blood stream CRE infections per 10,000 patient days",Not compared,"(42.088062, -75.91423)"
42,United Health Services Hospitals Inc. - Binghamton General Hospital,CRE Hospital Onset Infection Rate- all body sites,2016,0,,"25,802",0,,,"# hospital onset CRE infections per 10,000 patient days",Not compared,"(42.088062, -75.91423)"
42,United Health Services Hospitals Inc. - Binghamton General Hospital,CRE Admission Prevalence Rate- Bloodstream Infections,2016,0,,"4,607",0,,,"# admission prevalent CRE BSIs per 1,000 admissions",Not compared,"(42.088062, -75.91423)"
42,United Health Services Hospitals Inc. - Binghamton General Hospital,CRE Admission Prevalence Rate- all body sites,2016,2,,"4,607",0.43,,,"# admission prevalent CRE infections per 1,000 admissions",Not compared,"(42.088062, -75.91423)"
42,United Health Services Hospitals Inc. - Binghamton General Hospital,CLABSI Overall Standardized Infection Ratio,2016,1,1.91,,0.52,0.01,2.92,,Not significantly different than NYS 2016 average,"(42.088062, -75.91423)"
42,United Health Services Hospitals Inc. - Binghamton General Hospital,CLABSI Medical Surgical Ward,2016,0,1.59,"1,529",0,0,1.96,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(42.088062, -75.91423)"
42,United Health Services Hospitals Inc. - Binghamton General Hospital,CLABSI Medical Surgical ICU,2016,1,0.32,391,2.56,0.06,14.25,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(42.088062, -75.91423)"
42,United Health Services Hospitals Inc. - Binghamton General Hospital,CDI Possibly-My-Hospital Associated,2016,4,,"25,802",1.55,,,"# possibly-my-hospital cases per 10,000 patient days, not risk-adjusted",Not compared,"(42.088062, -75.91423)"
42,United Health Services Hospitals Inc. - Binghamton General Hospital,CDI Hospital Onset,2016,12,13.33,"25,802",5.83,2.4,11.73,"# hospital onset cases per 10,000 patient days, risk-adjusted",Not significantly different than NYS 2016 average,"(42.088062, -75.91423)"
42,United Health Services Hospitals Inc. - Binghamton General Hospital,CDI Community Onset Not-My-Hospital,2016,23,,"4,607",0.5,,,"# community onset not-my-hospital cases per 100 admissions, not risk-adjusted",Not compared,"(42.088062, -75.91423)"
43,Our Lady of Lourdes Memorial Hospital Inc,SSI Overall Standardized Infection Ratio,2016,9,7.6,,1.18,0.54,2.25,,Not significantly different than NYS 2016 average,"(42.092705, -75.93561)"
43,Our Lady of Lourdes Memorial Hospital Inc,SSI Hysterectomy,2016,1,0.43,69,2.59,0.07,14.44,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2016 average,"(42.092705, -75.93561)"
43,Our Lady of Lourdes Memorial Hospital Inc,SSI Hip,2016,2,1.89,254,0.82,0.1,2.96,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2016 average,"(42.092705, -75.93561)"
43,Our Lady of Lourdes Memorial Hospital Inc,SSI Colon,2016,6,5.28,141,5.64,2.07,12.27,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2016 average,"(42.092705, -75.93561)"
43,Our Lady of Lourdes Memorial Hospital Inc,CRE Hospital Onset Infection Rate- Bloodstream Infections,2016,0,,"45,883",0,,,"# hospital onset blood stream CRE infections per 10,000 patient days",Not compared,"(42.092705, -75.93561)"
43,Our Lady of Lourdes Memorial Hospital Inc,CRE Hospital Onset Infection Rate- all body sites,2016,0,,"45,883",0,,,"# hospital onset CRE infections per 10,000 patient days",Not compared,"(42.092705, -75.93561)"
43,Our Lady of Lourdes Memorial Hospital Inc,CRE Admission Prevalence Rate- Bloodstream Infections,2016,1,,"10,907",0.09,,,"# admission prevalent CRE BSIs per 1,000 admissions",Not compared,"(42.092705, -75.93561)"
43,Our Lady of Lourdes Memorial Hospital Inc,CRE Admission Prevalence Rate- all body sites,2016,2,,"10,907",0.18,,,"# admission prevalent CRE infections per 1,000 admissions",Not compared,"(42.092705, -75.93561)"
43,Our Lady of Lourdes Memorial Hospital Inc,CLABSI Surgical Ward,2016,1,0.93,"1,199",0.83,0.02,4.65,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(42.092705, -75.93561)"
43,Our Lady of Lourdes Memorial Hospital Inc,CLABSI Step Down Unit,2016,0,0.24,236,0,0,12.69,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(42.092705, -75.93561)"
43,Our Lady of Lourdes Memorial Hospital Inc,CLABSI Overall Standardized Infection Ratio,2016,3,5.46,,0.55,0.11,1.61,,Not significantly different than NYS 2016 average,"(42.092705, -75.93561)"
43,Our Lady of Lourdes Memorial Hospital Inc,CLABSI Medical Ward,2016,1,3.41,"2,997",0.33,0.01,1.86,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(42.092705, -75.93561)"
43,Our Lady of Lourdes Memorial Hospital Inc,CLABSI Medical Surgical Ward,2016,0,0.24,227,0,0,13.2,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(42.092705, -75.93561)"
43,Our Lady of Lourdes Memorial Hospital Inc,CLABSI Medical Surgical ICU,2016,1,0.64,785,1.27,0.03,7.1,# CLABSI per 1000 line days,Not significantly different than NYS 2016 average,"(42.092705, -75.93561)"
43,Our Lady of Lourdes Memorial Hospital Inc,CDI Possibly-My-Hospital Associated,2016,9,,"44,801",2.01,,,"# possibly-my-hospital cases per 10,000 patient days, not risk-adjusted",Not compared,"(42.092705, -75.93561)"
43,Our Lady of Lourdes Memorial Hospital Inc,CDI Hospital Onset,2016,28,27.44,"44,801",6.61,3.83,10.56,"# hospital onset cases per 10,000 patient days, risk-adjusted",Not significantly different than NYS 2016 average,"(42.092705, -75.93561)"
43,Our Lady of Lourdes Memorial Hospital Inc,CDI Community Onset Not-My-Hospital,2016,48,,"9,825",0.49,,,"# community onset not-my-hospital cases per 100 admissions, not risk-adjusted",Not compared,"(42.092705, -75.93561)"
58,United Health Services Hospitals Inc. - Wilson Medical Center,SSI Overall Standardized Infection Ratio,2016,13,10.17,,1.28,0.68,2.19,,Not significantly different than NYS 2016 average,"(42.08544, -75.91541)"
58,United Health Services Hospitals Inc. - Wilson Medical Center,SSI Hysterectomy,2016,1,0.67,68,1.69,0.04,9.39,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2016 average,"(42.08544, -75.91541)"
58,United Health Services Hospitals Inc. - Wilson Medical Center,SSI Hip,2016,0,0.24,37,0,0,9.62,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2016 average,"(42.08544, -75.91541)"
58,United Health Services Hospitals Inc. - Wilson Medical Center,SSI Colon,2016,6,7.02,170,4.24,1.56,9.23,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2016 average,"(42.08544, -75.91541)"
58,United Health Services Hospitals Inc. - Wilson Medical Center,SSI CABG donor site,2016,1,0.36,117,0.93,0.02,5.21,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2016 average,"(42.08544, -75.91541)"
58,United Health Services Hospitals Inc. - Wilson Medical Center,SSI CABG chest site,2016,5,1.89,130,4.11,1.33,9.59,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2016 average,"(42.08544, -75.91541)"
58,United Health Services Hospitals Inc. - Wilson Medical Center,CRE Hospital Onset Infection Rate- Bloodstream Infections,2016,0,,"66,073",0,,,"# hospital onset blood stream CRE infections per 10,000 patient days",Not compared,"(42.08544, -75.91541)"
58,United Health Services Hospitals Inc. - Wilson Medical Center,CRE Hospital Onset Infection Rate- all body sites,2016,3,,"66,073",0.45,,,"# hospital onset CRE infections per 10,000 patient days",Not compared,"(42.08544, -75.91541)"
58,United Health Services Hospitals Inc. - Wilson Medical Center,CRE Admission Prevalence Rate- Bloodstream Infections,2016,0,,"18,996",0,,,"# admission prevalent CRE BSIs per 1,000 admissions",Not compared,"(42.08544, -75.91541)"
58,United Health Services Hospitals Inc. - Wilson Medical Center,CRE Admission Prevalence Rate- all body sites,2016,3,,"18,996",0.16,,,"# admission prevalent CRE infections per 1,000 admissions",Not compared,"(42.08544, -75.91541)"
